past_avg_score,attendance_percent,score_trend,study_hours_per_week,next_score,at_risk
66.54,62.51,-6.19,7.36,50.6,0
62.54,62.39,4.93,3.94,54.26,0
32.35,41.3,-5.02,9.36,37.27,1
78.5,46.75,3.31,7.07,53.79,0
67.96,71.1,-2.06,8.04,50.82,0
72.0,100.0,-0.69,12.56,80.72,0
50.26,65.37,0.89,3.28,39.84,1
93.7,80.0,-4.57,9.67,68.13,0
45.63,47.63,1.26,7.94,27.08,1
76.26,71.93,9.18,6.67,59.89,0
89.09,95.07,-4.67,11.54,73.2,0
43.1,40.93,7.03,11.52,45.57,0
70.9,72.93,8.99,4.21,35.09,1
60.61,75.13,-4.9,7.27,52.33,0
70.7,68.83,-8.73,9.12,36.84,1
39.8,54.48,1.81,6.91,38.78,1
66.05,66.46,-3.28,10.34,44.85,0
57.63,62.42,11.21,9.12,42.68,0
82.28,77.57,0.21,15.33,58.23,0
50.32,51.6,-4.81,1.88,30.33,1
85.14,74.89,-6.88,7.51,59.47,0
52.8,58.5,6.54,4.37,38.41,1
62.87,80.71,-3.43,10.42,39.65,1
84.33,59.17,0.26,1.53,60.99,0
46.57,34.97,5.73,9.39,30.5,1
73.36,69.87,-2.91,5.48,50.72,0
97.71,79.84,-0.28,5.06,68.4,0
43.94,50.7,-0.1,2.21,29.55,1
70.26,70.37,4.1,6.14,50.29,0
56.75,65.55,3.54,12.34,57.84,0
55.68,91.59,-1.32,7.9,68.93,0
49.55,33.3,0.38,10.51,28.53,1
44.43,41.69,-2.23,14.66,35.58,1
68.71,69.74,-8.87,9.06,41.89,0
71.4,48.9,1.55,5.76,48.12,0
68.27,66.02,11.35,9.87,59.86,0
79.22,89.08,-5.3,5.82,50.39,0
55.49,58.61,-4.64,5.98,38.6,1
62.51,70.71,-5.22,1.92,41.32,0
77.32,53.46,4.35,11.71,55.01,0
52.55,50.6,2.69,6.46,49.59,0
97.2,80.59,-0.95,8.73,62.82,0
68.29,66.66,-5.51,3.86,47.66,0
41.93,68.37,0.55,9.74,45.81,0
75.52,79.09,-9.39,4.95,61.05,0
50.48,41.93,0.86,7.43,29.8,1
80.64,76.72,5.23,11.51,62.64,0
80.23,83.64,-7.51,11.16,63.33,0
38.0,70.56,-9.2,7.91,40.26,0
75.99,94.58,9.48,0.93,52.77,0
77.54,57.65,-3.67,19.97,57.85,0
74.95,64.4,6.82,14.98,72.43,0
91.48,70.33,-0.92,10.89,68.97,0
69.21,60.12,-0.97,4.99,40.57,0
48.0,63.18,2.63,7.55,42.67,0
39.31,68.01,-5.3,5.83,51.73,0
51.48,56.02,0.79,13.06,50.0,0
59.97,60.85,-2.29,9.05,52.7,0
62.39,70.9,-7.92,4.86,52.38,0
67.75,58.38,2.02,6.12,48.59,0
81.34,99.26,-1.58,12.48,64.18,0
65.12,46.34,-0.94,14.4,48.51,0
89.26,82.98,-7.26,14.11,68.24,0
75.54,87.0,9.55,11.03,68.1,0
97.26,90.08,5.26,6.99,84.45,0
76.61,69.79,5.78,0.0,49.25,0
48.07,52.21,-1.83,9.19,42.3,0
42.17,52.09,-10.38,7.99,38.96,1
67.56,87.04,11.72,8.56,69.28,0
57.82,36.61,-0.37,8.22,39.73,1
78.59,91.4,-4.49,2.69,75.97,0
90.89,53.38,2.5,10.23,46.99,0
58.18,61.54,7.0,10.53,47.62,0
48.97,51.46,-0.14,10.73,43.61,0
41.77,56.66,7.67,11.79,54.66,0
61.47,41.63,6.5,10.42,41.75,0
79.95,80.04,-6.46,6.36,55.91,0
78.48,92.04,-4.04,7.72,62.68,0
26.9,36.06,5.75,8.36,37.96,1
48.5,69.59,-16.28,8.43,43.48,0
66.81,61.6,-0.9,11.99,57.79,0
60.52,61.33,-8.58,10.57,41.24,0
54.78,67.34,-2.86,16.31,60.13,0
41.81,58.41,-1.79,16.83,59.81,0
52.42,59.35,-2.15,8.32,41.45,0
72.32,90.91,-3.31,0.0,56.98,0
64.69,69.1,-6.58,12.95,56.07,0
73.36,85.51,13.75,5.84,73.35,0
73.05,61.05,11.2,4.79,64.02,0
45.22,39.56,-6.97,6.41,30.73,1
45.92,61.32,9.49,6.21,54.07,0
76.68,88.72,-2.4,10.45,68.78,0
49.87,75.16,0.78,1.76,46.89,0
65.87,67.15,-0.38,3.69,54.41,0
90.99,89.99,-3.96,9.37,69.7,0
71.51,56.49,5.9,10.49,55.99,0
77.73,84.68,0.76,10.57,68.02,0
85.69,86.11,-2.86,4.85,64.88,0
59.9,66.91,-7.83,4.09,51.15,0
60.63,56.55,-5.36,5.97,32.09,1
80.85,76.66,-9.85,8.96,49.32,0
68.26,52.14,0.07,13.94,49.4,0
57.59,62.22,-7.18,0.0,26.21,1
60.32,85.6,-1.59,7.12,57.33,0
51.8,63.4,8.22,2.67,57.14,0
80.58,85.5,7.2,1.39,83.86,0
43.75,38.12,-0.19,11.87,30.24,1
75.25,81.64,-0.52,10.18,48.16,0
50.24,46.39,11.28,9.8,42.88,0
46.93,52.75,3.12,11.68,55.12,0
85.49,92.79,-1.97,6.08,69.68,0
80.91,83.21,-8.56,6.27,46.55,0
52.19,46.98,2.36,16.74,42.98,0
56.48,35.59,4.98,7.01,38.36,1
75.26,84.73,-3.79,10.94,54.77,0
41.48,49.62,1.75,8.03,48.66,0
79.09,77.26,-2.18,0.61,44.89,0
60.8,42.34,-1.1,0.0,38.68,1
59.26,69.37,-14.93,5.68,31.87,1
84.65,73.48,-1.33,12.22,62.19,0
65.07,80.93,5.82,11.15,64.3,0
46.1,44.41,-3.79,11.66,36.5,1
65.02,56.01,0.32,4.05,48.75,0
66.7,53.67,-4.54,14.46,34.06,1
77.16,82.69,2.16,4.14,66.68,0
38.38,58.45,-1.3,8.85,53.02,0
70.42,71.31,-5.64,7.96,44.76,0
67.86,94.52,8.0,7.3,62.14,0
83.58,55.82,5.57,13.35,63.94,0
47.2,72.3,-3.63,5.18,49.78,0
47.64,63.24,2.99,2.6,44.79,0
59.19,49.73,3.22,8.08,37.82,1
72.77,42.68,3.85,6.4,46.53,0
95.43,81.77,-10.17,21.51,72.83,0
70.61,80.81,6.04,10.71,61.52,0
54.69,50.73,-3.42,6.36,32.34,1
80.45,93.27,-2.15,3.78,68.0,0
98.51,70.37,15.83,0.48,78.56,0
71.75,76.2,1.81,3.9,56.97,0
44.08,34.52,-2.32,8.46,31.79,1
66.02,64.78,-13.23,13.71,34.1,1
77.32,89.45,8.34,12.49,76.12,0
65.78,53.02,-8.07,8.92,37.58,1
70.92,38.91,-6.02,6.71,43.58,0
69.52,76.02,-1.99,9.08,58.88,0
59.08,61.01,8.5,5.93,46.57,0
61.81,69.73,4.64,14.87,61.36,0
22.46,46.3,-0.95,7.24,23.51,1
47.3,41.89,1.85,7.65,37.96,1
60.73,71.01,-3.6,0.0,50.65,0
50.23,66.71,0.84,7.22,43.79,0
91.81,61.3,0.44,11.35,62.54,0
27.58,54.32,5.81,3.73,38.09,1
49.43,54.83,5.8,5.0,46.6,0
74.4,65.89,2.96,11.17,57.87,0
85.56,84.81,-2.17,2.09,61.94,0
39.27,44.58,4.45,12.23,36.37,1
71.58,69.6,-0.55,5.87,72.57,0
56.52,66.02,-6.49,6.45,53.36,0
34.1,42.15,-2.42,3.5,31.36,1
71.12,57.32,0.51,9.51,57.56,0
63.2,75.74,5.46,17.84,61.33,0
48.26,45.41,-1.1,11.13,45.02,0
65.5,74.23,-7.26,4.54,49.73,0
62.13,67.01,0.34,12.54,57.04,0
83.45,45.98,0.68,6.73,50.32,0
62.84,64.32,1.12,13.5,58.31,0
98.07,96.48,5.52,11.23,80.51,0
54.22,40.73,6.11,0.0,38.14,1
90.76,82.32,-3.57,3.98,69.95,0
37.34,50.55,-3.7,11.78,33.32,1
59.06,73.31,-6.24,8.61,48.06,0
75.31,68.66,4.19,3.9,57.66,0
81.29,61.28,8.69,5.47,52.79,0
60.5,76.03,-1.89,0.38,40.48,0
65.95,84.18,-1.45,7.65,46.45,0
54.16,72.07,8.8,16.84,47.2,0
44.29,60.34,3.03,11.22,42.56,0
76.08,64.72,2.62,16.76,61.0,0
80.01,59.28,-7.15,11.53,51.06,0
42.39,64.49,4.07,12.11,46.97,0
70.05,79.97,-5.57,15.9,47.01,0
70.62,85.55,-6.8,9.51,64.29,0
69.32,81.84,-2.08,7.25,66.48,0
68.1,54.07,-3.51,12.13,56.32,0
49.18,69.42,-1.33,13.82,57.72,0
45.67,47.64,-8.65,6.08,32.29,1
68.42,68.74,5.75,5.11,71.4,0
79.78,74.91,6.77,8.56,55.93,0
54.23,89.23,-11.68,11.33,52.41,0
53.98,100.0,5.87,11.19,55.37,0
79.12,86.2,-4.86,2.3,61.88,0
61.98,57.09,5.14,15.65,51.87,0
71.63,77.66,-0.41,5.44,56.29,0
58.25,74.03,0.17,6.94,55.34,0
62.09,59.37,-1.11,4.39,47.18,0
67.52,98.58,7.27,18.79,70.67,0
81.34,76.93,-7.44,8.97,53.52,0
80.27,80.01,3.65,4.6,66.53,0
81.31,87.2,6.61,11.46,66.78,0
73.36,70.78,4.3,11.08,61.04,0
66.21,82.73,13.95,7.25,74.41,0
69.37,54.84,-3.17,11.36,35.97,1
71.1,62.2,5.74,4.7,61.94,0
60.36,50.93,-0.64,6.03,58.72,0
66.3,71.79,7.4,0.0,56.12,0
73.07,81.1,-0.05,2.7,61.26,0
62.49,62.4,-2.33,15.23,51.11,0
87.77,100.0,7.84,14.57,79.65,0
43.81,54.87,-2.95,8.26,40.52,0
55.08,60.78,-8.48,14.65,30.16,1
77.61,64.56,-3.1,7.36,59.71,0
84.08,69.17,3.71,7.03,63.07,0
87.96,80.4,8.35,8.23,66.72,0
71.21,82.29,0.67,7.5,66.37,0
70.27,61.84,7.91,7.14,49.47,0
42.31,55.22,-8.15,12.57,35.89,1
72.17,48.08,-2.66,8.6,58.62,0
56.44,54.11,-1.73,10.85,42.47,0
83.41,86.42,-0.69,12.13,65.57,0
57.63,70.86,0.5,9.55,51.42,0
39.33,62.84,4.15,4.12,39.89,1
64.21,62.72,-2.67,2.59,54.83,0
54.69,69.92,0.83,8.6,52.97,0
54.01,51.66,-0.27,7.31,36.73,1
60.2,65.25,-5.56,8.35,39.04,1
70.19,73.11,-0.68,7.94,42.41,0
84.26,73.98,-0.86,18.33,53.73,0
65.6,53.86,-0.99,2.68,36.84,1
52.7,34.71,0.19,0.04,42.62,0
68.7,81.1,0.45,9.33,52.87,0
42.9,44.55,-2.59,6.49,38.69,1
31.23,40.37,7.64,9.26,47.2,0
46.7,66.28,-7.02,10.34,47.36,0
57.31,58.55,-4.33,13.14,46.19,0
53.37,81.48,16.68,1.97,64.39,0
87.51,88.4,-6.23,5.77,55.07,0
75.87,82.71,-8.12,9.72,57.42,0
49.22,47.43,4.41,11.08,44.28,0
67.95,79.84,-12.46,16.77,54.53,0
55.69,58.11,-1.41,11.82,57.38,0
66.54,60.87,12.87,7.77,59.54,0
58.08,64.19,-9.27,4.44,30.96,1
74.57,47.57,-11.89,5.74,41.54,0
58.03,61.72,-9.0,5.63,39.2,1
75.25,58.6,5.39,10.62,58.16,0
81.39,65.36,6.75,9.03,63.17,0
65.58,46.09,-3.08,2.71,44.82,0
80.59,83.07,4.1,6.26,52.15,0
70.58,65.2,8.34,11.51,56.44,0
75.77,79.69,10.72,9.41,60.44,0
64.16,61.42,-1.48,10.27,46.13,0
65.45,45.14,-13.81,9.53,44.07,0
61.09,53.13,-4.93,14.51,40.85,0
55.19,72.21,-2.56,8.94,55.81,0
51.43,63.89,-1.55,6.46,45.24,0
68.1,64.15,-1.13,4.34,52.08,0
78.03,82.66,6.71,9.0,72.29,0
80.47,81.59,7.65,0.0,60.41,0
100.0,100.0,-1.03,7.26,76.04,0
58.66,74.82,6.59,7.18,53.28,0
59.11,70.34,2.15,2.54,64.61,0
84.09,51.51,0.39,4.29,53.79,0
100.0,83.53,5.44,11.24,75.58,0
46.66,60.14,0.43,8.92,43.12,0
53.66,45.12,12.35,8.41,60.64,0
57.42,47.72,-8.63,9.23,44.5,0
27.81,47.32,-3.09,8.37,23.13,1
58.7,59.4,-0.76,12.97,47.4,0
48.75,57.92,2.64,8.49,42.93,0
64.02,57.98,7.61,2.17,52.23,0
64.64,66.32,-0.15,14.52,48.74,0
81.68,74.11,-8.53,9.48,62.16,0
80.42,86.16,5.06,5.64,75.91,0
61.03,71.87,4.53,2.99,52.0,0
55.64,33.91,-11.65,9.58,17.22,1
78.94,59.51,-0.02,7.53,61.26,0
47.79,33.68,-9.54,14.3,37.65,1
88.21,76.93,-3.99,6.62,64.08,0
89.41,76.88,-5.42,4.65,63.85,0
47.1,43.18,4.86,11.58,41.26,0
32.1,36.45,0.7,11.7,29.95,1
77.59,67.67,-7.71,8.67,68.19,0
71.92,66.78,5.28,10.71,52.38,0
91.11,79.33,-8.6,7.85,48.66,0
44.98,40.1,1.98,8.94,33.91,1
64.58,61.33,-4.88,12.66,43.96,0
58.04,58.99,-2.19,10.5,56.84,0
68.49,62.73,3.03,7.32,52.48,0
57.25,80.86,3.13,13.41,51.27,0
81.12,88.13,8.02,0.0,68.79,0
48.06,38.7,-0.49,16.21,40.02,0
59.78,73.96,1.84,1.18,46.14,0
71.13,76.5,-2.63,5.49,59.31,0
79.73,57.12,1.09,7.84,55.48,0
70.33,82.8,2.64,7.41,61.74,0
47.64,72.15,-0.59,12.03,45.28,0
33.52,35.92,-10.82,3.77,19.57,1
64.18,67.91,1.99,9.04,60.41,0
71.59,81.2,2.19,5.69,57.55,0
58.64,60.9,-4.08,9.18,41.3,0
90.36,88.4,-7.71,7.74,72.33,0
51.14,70.8,8.86,8.37,59.11,0
79.88,82.57,2.95,5.8,70.34,0
48.27,50.29,-1.37,5.96,47.52,0
100.0,99.71,-6.82,9.15,78.36,0
82.64,97.97,-4.93,11.77,73.28,0
71.31,60.13,7.82,5.61,51.39,0
87.14,75.18,0.83,4.52,60.49,0
67.48,53.9,-3.3,10.45,47.61,0
76.47,86.04,3.06,7.87,71.18,0
53.33,62.23,-4.89,11.32,40.95,0
68.54,71.96,9.01,4.38,58.6,0
81.7,90.11,8.12,0.88,73.46,0
34.76,43.02,-2.8,5.87,22.7,1
33.0,59.85,-3.77,4.93,35.02,1
16.57,31.85,-15.71,7.68,25.91,1
62.77,62.39,-8.89,5.45,45.09,0
71.27,70.94,-8.04,10.96,54.84,0
83.11,83.98,0.81,6.85,68.91,0
71.68,61.84,-1.96,8.6,51.41,0
98.82,81.02,-8.07,8.63,54.84,0
42.12,60.92,-1.69,8.78,36.24,1
36.72,42.37,3.03,7.9,43.76,0
68.17,45.64,3.17,10.04,45.06,0
59.91,90.53,-11.4,4.82,50.86,0
66.29,81.73,-0.77,13.6,52.27,0
38.4,30.0,-8.3,7.05,22.14,1
69.11,72.84,5.41,2.75,49.62,0
29.94,45.77,4.7,8.75,42.04,0
68.95,75.69,-5.39,4.6,56.28,0
63.47,72.88,-4.6,10.66,58.89,0
51.7,52.82,-2.77,16.84,35.92,1
61.14,50.7,-13.52,4.85,34.31,1
61.09,46.09,2.02,9.33,38.68,1
60.1,53.85,-1.64,0.98,48.21,0
75.35,65.55,5.82,9.82,57.84,0
59.41,54.34,-6.59,4.46,42.02,0
74.93,62.2,-3.71,5.5,59.26,0
67.19,68.12,-9.04,3.59,35.62,1
55.42,75.02,-6.03,10.93,41.53,0
54.14,57.42,-7.09,12.03,43.22,0
38.81,57.5,5.98,8.09,59.92,0
44.28,65.68,-4.19,4.54,41.01,0
52.33,58.59,0.75,14.36,52.33,0
100.0,87.04,-2.28,5.0,62.12,0
80.32,74.78,-7.62,0.0,41.25,0
61.25,63.94,-1.01,9.83,41.09,0
77.51,52.89,3.59,3.58,45.89,0
58.67,74.75,-7.25,11.95,48.13,0
52.43,73.83,4.85,6.48,48.81,0
81.01,62.79,-5.1,10.41,49.03,0
79.7,73.91,-2.9,13.61,66.36,0
57.9,68.13,3.18,3.16,54.88,0
59.46,56.94,-3.98,5.74,47.81,0
63.46,75.49,0.23,7.7,54.14,0
40.74,69.7,-1.89,14.15,34.56,1
52.63,40.16,0.78,5.37,30.3,1
89.86,63.28,-14.28,5.62,48.51,0
96.44,86.42,-10.98,9.91,66.27,0
65.38,71.54,3.7,5.69,44.52,0
69.96,68.78,6.22,8.61,53.99,0
75.72,86.21,-5.46,1.79,60.28,0
88.84,73.94,-1.46,16.86,85.52,0
90.22,85.57,1.77,2.61,66.13,0
53.53,56.89,4.16,6.71,56.8,0
52.95,76.1,-12.17,7.87,37.89,1
34.14,72.54,-5.32,15.65,31.02,1
72.48,58.44,-2.0,2.7,52.6,0
53.38,50.96,4.22,15.93,50.01,0
30.91,60.88,14.99,11.03,47.43,0
58.67,54.07,-1.37,9.67,41.99,0
44.15,53.6,-8.44,4.06,40.32,0
97.36,83.52,2.41,10.28,64.75,0
78.24,51.72,7.93,5.11,54.22,0
68.04,65.25,0.65,13.07,46.93,0
79.54,72.76,-5.44,4.12,61.54,0
61.45,60.39,5.75,7.55,47.08,0
48.41,73.78,3.98,5.78,43.02,0
94.7,66.41,-6.16,4.05,55.5,0
86.5,80.92,2.29,10.97,59.25,0
43.0,51.26,5.98,10.14,34.56,1
70.76,60.14,7.09,12.84,54.13,0
34.51,65.79,-0.4,0.88,49.23,0
34.7,55.06,-2.15,12.26,38.77,1
71.22,82.07,7.36,18.02,78.14,0
82.82,97.17,-7.26,6.19,77.17,0
31.35,46.84,2.63,15.58,44.24,0
76.75,64.06,-8.22,6.95,51.63,0
53.53,45.65,6.39,2.51,43.6,0
60.73,50.48,-1.55,6.78,47.67,0
61.64,94.67,7.61,12.19,54.91,0
54.17,71.36,2.95,4.65,34.47,1
70.99,49.8,-7.34,5.6,47.07,0
51.98,40.91,8.55,10.37,37.68,1
59.56,74.12,9.31,8.01,54.09,0
72.71,71.54,5.29,10.34,55.39,0
56.7,69.58,-4.57,8.95,47.52,0
43.9,52.91,-1.84,9.92,32.43,1
54.93,57.94,0.87,6.27,45.89,0
69.03,77.37,-4.22,8.93,63.82,0
69.17,71.79,10.15,4.29,53.83,0
53.09,30.0,0.87,13.15,45.7,0
69.28,63.79,-16.22,5.46,33.49,1
69.09,63.17,2.04,12.52,72.06,0
36.06,50.07,-2.09,7.07,30.6,1
81.75,100.0,-0.45,8.81,63.52,0
59.03,62.95,-2.21,6.02,32.22,1
90.16,67.73,4.84,3.94,57.23,0
62.99,68.55,6.72,1.02,48.2,0
47.08,52.34,1.7,3.78,32.79,1
29.48,53.45,-2.04,6.7,30.63,1
71.83,73.29,-0.25,8.85,47.65,0
68.47,92.91,0.12,12.04,66.93,0
47.03,42.43,-4.81,6.22,36.42,1
75.92,77.89,3.47,4.47,68.92,0
47.64,36.94,2.76,2.23,28.32,1
68.02,71.47,9.24,9.92,54.49,0
39.81,41.76,7.53,13.53,46.83,0
61.16,53.65,-4.11,13.07,33.23,1
60.61,62.46,4.92,10.84,47.06,0
53.83,68.18,-5.71,10.55,49.18,0
56.8,72.48,4.18,14.79,46.57,0
78.34,61.12,-3.1,9.33,46.61,0
62.48,60.1,-6.14,10.58,54.33,0
69.21,65.76,1.68,6.72,50.29,0
63.62,38.54,-16.05,2.55,27.98,1
58.38,68.46,-10.51,5.26,50.55,0
81.84,76.93,-1.06,7.96,48.02,0
30.89,68.67,0.49,8.24,30.21,1
57.72,62.33,-2.22,15.71,47.94,0
72.85,55.03,-9.48,8.33,51.4,0
61.5,56.59,-4.91,12.72,52.18,0
73.85,81.65,2.35,6.26,55.87,0
54.09,84.22,3.49,6.75,55.66,0
77.44,47.38,-0.1,2.68,42.56,0
69.38,41.31,6.94,5.03,39.24,1
89.5,100.0,2.38,10.11,61.82,0
61.09,72.85,-4.48,8.03,43.81,0
69.43,58.63,-1.68,11.77,59.01,0
56.42,67.59,-8.42,8.73,35.19,1
49.64,30.0,-0.65,6.59,41.02,0
61.39,61.0,6.67,16.59,51.1,0
66.62,73.58,4.11,7.62,57.45,0
63.93,72.17,8.41,12.65,62.89,0
60.79,56.38,-1.82,6.4,47.8,0
100.0,88.32,8.08,10.84,81.5,0
70.9,63.54,-1.16,11.71,58.8,0
61.86,65.14,8.83,8.83,52.24,0
89.35,67.37,-0.13,0.0,72.87,0
54.31,56.32,4.24,8.07,39.54,1
41.25,32.15,8.85,12.92,41.4,0
40.05,62.73,-1.16,10.11,46.37,0
48.56,56.16,1.31,9.78,32.26,1
59.84,58.99,7.73,1.11,58.62,0
60.5,66.15,-0.8,5.12,39.18,1
87.75,65.72,-7.93,9.65,58.52,0
76.38,65.34,12.86,9.64,53.59,0
57.04,62.6,-2.82,12.86,51.38,0
71.45,100.0,0.95,7.42,58.62,0
30.06,30.0,6.94,9.62,32.46,1
59.12,85.54,-3.65,8.07,54.28,0
91.13,85.56,-6.05,4.05,54.54,0
38.29,53.34,1.52,0.0,37.31,1
88.81,98.61,-10.76,9.72,60.83,0
71.75,73.52,-1.73,8.7,48.46,0
50.89,65.81,1.47,5.53,64.69,0
74.44,71.51,-1.62,1.52,52.0,0
100.0,100.0,-9.26,10.52,59.7,0
66.22,80.57,9.57,6.94,55.17,0
78.27,60.6,0.62,10.23,45.69,0
66.28,44.85,8.59,15.46,54.82,0
59.6,54.14,-1.56,0.0,40.72,0
73.78,64.62,-5.28,5.2,56.84,0
43.52,55.75,1.62,7.16,40.57,0
61.16,81.1,-1.29,13.82,54.38,0
59.41,55.0,-7.07,1.45,37.49,1
76.55,70.02,8.82,15.74,62.35,0
52.63,69.7,-3.73,8.54,58.15,0
80.5,86.58,-11.04,7.62,60.41,0
58.61,33.18,7.97,7.21,47.33,0
58.73,55.39,-3.03,6.25,47.96,0
60.65,57.76,-3.65,12.19,46.37,0
61.71,75.24,-10.59,3.73,44.68,0
81.14,63.56,10.45,9.38,61.76,0
74.63,50.93,-7.74,6.46,57.38,0
58.67,63.25,0.35,4.95,38.46,1
91.12,67.01,5.48,18.34,59.43,0
95.83,65.46,2.53,9.68,57.08,0
62.46,62.35,-0.36,10.45,55.69,0
91.12,82.99,-10.21,12.55,55.37,0
50.63,50.12,-4.86,2.31,40.43,0
50.24,30.0,1.13,15.01,35.89,1
43.81,57.59,-4.72,0.0,37.04,1
80.73,96.51,1.22,4.92,65.45,0
75.36,80.19,4.09,6.16,59.86,0
48.01,51.26,5.78,10.33,58.26,0
80.74,66.02,-7.36,8.87,58.55,0
44.02,53.6,13.18,7.33,41.89,0
100.0,97.19,4.6,7.95,80.22,0
64.46,74.88,-0.01,4.09,54.78,0
75.81,57.84,6.54,2.01,54.33,0
53.19,74.1,14.19,10.91,65.35,0
